Actual_Heart_Rate,Predicted_Heart_Rate
149.0,138.29
148.0,138.22
153.0,138.21
148.0,138.1
154.0,138.01
158.0,138.02
153.0,138.2
155.0,138.07
154.0,138.13
156.0,137.96
158.0,137.96
157.0,137.9
159.0,137.75
160.0,137.69
161.0,137.69
163.0,137.73
153.0,137.74
165.0,138.39
162.0,137.74
159.0,137.69
159.0,137.72
157.0,137.74
156.0,137.79
159.0,137.74
155.0,137.75
152.0,137.65
161.0,138.1
160.0,137.55
156.0,137.52
153.0,137.57
150.0,137.71
147.0,137.83
143.0,138.12
131.0,138.2
135.0,138.06
137.0,138.27
136.0,138.23
133.0,138.23
136.0,138.2
139.0,138.2
140.0,138.09
135.0,137.93
137.0,137.94
131.0,137.93
131.0,138.05
128.0,137.93
130.0,138.01
127.0,137.95
131.0,137.83
134.0,137.91
132.0,137.82
130.0,137.73
129.0,137.74
133.0,137.69
132.0,137.62
134.0,137.51
132.0,137.54
133.0,137.4
138.0,137.47
134.0,137.55
133.0,137.5
132.0,137.29
138.0,137.11
137.0,137.21
135.0,137.12
135.0,137.1
136.0,137.2
133.0,137.24
137.0,137.2
135.0,137.17
139.0,137.09
137.0,137.2
135.0,137.29
134.0,137.59
125.0,138.25
131.0,138.08
146.0,137.94
151.0,138.0
144.0,139.01
148.0,138.69
152.0,138.58
155.0,138.74
158.0,138.52
156.0,138.59
159.0,138.64
158.0,138.57
159.0,138.5
160.0,138.59
161.0,138.54
163.0,138.53
161.0,138.52
160.0,137.8
162.0,137.73
162.0,137.6
161.0,137.68
164.0,137.68
162.0,137.58
127.0,139.52
112.0,139.32
108.0,139.35
110.0,140.02
117.0,139.68
134.0,138.83
150.0,138.66
155.0,138.32
159.0,138.04
160.0,138.12
162.0,138.26
162.0,138.17
164.0,138.13
165.0,137.98
167.0,137.95
167.0,138.42
165.0,138.08
167.0,138.23
168.0,138.13
165.0,138.05
169.0,138.61
164.0,137.57
167.0,137.3
167.0,137.39
167.0,137.39
166.0,137.43
164.0,137.44
160.0,138.84
159.0,137.94
163.0,138.1
165.0,138.06
167.0,137.88
164.0,138.45
125.0,139.87
114.0,139.59
120.0,139.59
113.0,139.23
118.0,139.14
119.0,138.85
124.0,138.82
121.0,138.68
124.0,138.63
126.0,138.63
129.0,138.49
127.0,138.47
125.0,138.56
126.0,138.41
124.0,138.59
128.0,138.5
129.0,138.4
127.0,138.43
127.0,138.35
123.0,138.35
129.0,138.28
130.0,138.13
127.0,138.29
131.0,138.2
129.0,138.18
128.0,138.12
131.0,138.2
128.0,138.46
128.0,138.34
132.0,138.03
137.0,137.96
140.0,137.88
132.0,138.0
136.0,137.87
139.0,137.93
138.0,137.93
138.0,137.85
135.0,137.71
136.0,137.59
135.0,137.63
137.0,137.54
130.0,138.22
119.0,138.28
119.0,138.15
124.0,138.39
140.0,137.8
148.0,137.92
153.0,137.8
154.0,137.96
156.0,137.98
158.0,137.9
158.0,137.76
157.0,137.72
157.0,137.98
156.0,137.95
156.0,137.83
156.0,137.85
157.0,137.81
158.0,137.65
159.0,137.72
159.0,137.71
159.0,138.0
159.0,137.42
161.0,137.73
166.0,137.82
162.0,139.03
163.0,138.23
163.0,138.5
163.0,138.69
162.0,138.52
164.0,138.47
162.0,138.37
163.0,138.51
166.0,138.45
168.0,138.35
165.0,138.62
166.0,138.62
167.0,138.54
166.0,138.39
164.0,138.59
164.0,138.52
163.0,138.55
